,popularity_based,content_based,metadata_based,imdb
White House Down,In the Line of Fire,The Rewrite,The Hunter,Taken
White House Down,Universal Soldier,Blades of Glory,Seeking Justice,Non-Stop
White House Down,"10,000 BC",The Texas Chain Saw Massacre,Swelter,RED
White House Down,Godzilla,Aftermath,Swelter,Unknown
White House Down,2012,RED 2,Stargate,The A-Team
White House Down,Independence Day: Resurgence,Yi Yi,2012,Transporter 2
A Beautiful Mind,Rush,A Very Harold & Kumar Christmas,Far and Away,American Beauty
A Beautiful Mind,Apollo 13,The Motorcycle Diaries,Rush,Catch Me If You Can
A Beautiful Mind,Breakfast at Tiffany's,My Week with Marilyn,Splash,Shutter Island
A Beautiful Mind,Before Sunset,Outland,Parenthood,The Wolf of Wall Street
A Beautiful Mind,Cinderella Man,Little Nemo: Adventures In Slumberland,Frost/Nixon,The Truman Show
A Beautiful Mind,Frida,Godzilla,The Paper,Gladiator
A Beautiful Mind,Frost/Nixon,The Innocents,An Officer and a Gentleman,Memento
A Beautiful Mind,While You Were Sleeping,Mutant Chronicles,Frida,The Prestige
A Beautiful Mind,Splash,The Witches,Cinderella Man,Inglourious Basterds
A Beautiful Mind,Far and Away,Phantom of the Opera,Two Lovers,The Green Mile
The Day After Tomorrow,Star Trek II: The Wrath of Khan,Undercover Blues,Independence Day: Resurgence,Independence Day
The Day After Tomorrow,Independence Day,The Revenant,Stargate,Armageddon
The Day After Tomorrow,Star Trek Beyond,The Thing,2012,2012
The Day After Tomorrow,White House Down,Cross of Iron,Independence Day,"I, Robot"
The Day After Tomorrow,Stargate,The Aristocrats,Replicant,Men in Black
The Day After Tomorrow,Paycheck,The Perfect Host,Universal Soldier,Men in Black II
The Day After Tomorrow,Godzilla,Paths of Glory,Escape from L.A.,War of the Worlds
The Day After Tomorrow,Knowing,Gaslight,Solo,Hancock
The Day After Tomorrow,2012,Greed,Darkman II: The Return of Durant,I Am Legend
The Day After Tomorrow,Independence Day: Resurgence,The Blood on Satan's Claw,Paycheck,Men in Black 3
Die Hard,Predator,The 'Burbs,Die Hard: With a Vengeance,Die Hard 2
Die Hard,The Hunt for Red October,Phenomenon,Die Hard 2,Die Hard with a Vengeance
Die Hard,Taken 2,Aladdin,The Hunt for Red October,Live Free or Die Hard
Die Hard,Live Free or Die Hard,Sita Sings the Blues,Nomads,A Good Day to Die Hard
Die Hard,Die Hard: With a Vengeance,I'm Not Scared,Live Free or Die Hard,Indiana Jones and the Last Crusade
Die Hard,Die Hard 2,Angst,Basic,Jurassic Park
Die Hard,Gone in Sixty Seconds,O Lucky Man!,Rollerball,The Terminator
Die Hard,Con Air,The Man from U.N.C.L.E.,Predator,Terminator 2: Judgment Day
Die Hard,Last Action Hero,"The Cook, the Thief, His Wife & Her Lover",The Thomas Crown Affair,Alien
Die Hard,G.I. Joe: The Rise of Cobra,Desert Bloom,The 13th Warrior,Back to the Future
Rocky,The Notebook,Tristana,Rocky V,Rocky II
Rocky,Frida,Re-Animator,Rocky II,Rocky III
Rocky,Rocky IV,"Good Morning, Babylon",Rocky Balboa,Rocky IV
Rocky,Rocky II,Kramer vs. Kramer,The Karate Kid,Rocky Balboa
Rocky,The Karate Kid,Falling Down,The Power of One,Rocky V
Rocky,Rocky III,Fly Away Home,The Formula,Creed
Rocky,Rocky Balboa,Creepshow 2,8 Seconds,Jaws
Rocky,Cold Mountain,The Invisible Circus,Neighbors,The Terminator
Rocky,"The Karate Kid, Part II",Ordinary People,Lean On Me,Rambo
Rocky,Rocky V,Harlem Nights,"The Karate Kid, Part II",First Blood
The Pursuit of Happyness,The Wolf of Wall Street,Streamers,Seven Pounds,Seven Pounds
The Pursuit of Happyness,Seven Pounds,Into the Arms of Strangers: Stories of the Kindertransport,The Last Kiss,Hitch
The Pursuit of Happyness,Concussion,The Treasure of the Sierra Madre,Ali,I Am Legend
The Pursuit of Happyness,Milk,Close Encounters of the Third Kind,The Wolf of Wall Street,Focus
The Pursuit of Happyness,42,Fail-Safe,Kafka,Cast Away
The Pursuit of Happyness,Ali,The Immature,Jefferson in Paris,The Terminal
The Pursuit of Happyness,My Week with Marilyn,The Polar Express,Reversal of Fortune,Men in Black
The Pursuit of Happyness,Truth,John Wick,Get on Up,127 Hours
The Pursuit of Happyness,Get on Up,The Walking Dead,Concussion,"I, Robot"
The Pursuit of Happyness,Dragon: The Bruce Lee Story,Shades of Ray,King of Kings,Hancock
I Am Legend,Mad Max: Fury Road,Man of the House,Stake Land,"I, Robot"
I Am Legend,The Maze Runner,Are We There Yet?,The Hunger Games: Mockingjay - Part 1,Hancock
I Am Legend,Terminator 2: Judgment Day,Marcello Mastroianni: I Remember,The Book of Eli,World War Z
I Am Legend,Twelve Monkeys,Austin Powers in Goldmember,Mad Max,Men in Black
I Am Legend,The Hunger Games: Mockingjay - Part 1,Days of Wine and Roses,Resident Evil: Extinction,Independence Day
I Am Legend,World War Z,Coraline,Battle for the Planet of the Apes,300
I Am Legend,The Hunger Games: Mockingjay - Part 2,And So It Goes,The Omega Man,Men in Black II
I Am Legend,The Book of Eli,Sullivan's Travels,The Hunger Games: Mockingjay - Part 2,Mr. & Mrs. Smith
I Am Legend,Resident Evil: Extinction,The Mortal Instruments: City of Bones,Water for Elephants,Men in Black 3
I Am Legend,9,Lightning Jack,Dragon Wars: D-War,The Day After Tomorrow
Captain America: The Winter Soldier,The Avengers,Scoop,Captain America: Civil War,Captain America: The First Avenger
Captain America: The Winter Soldier,Deadpool,Buffalo '66,Ant-Man,Captain America: Civil War
Captain America: The Winter Soldier,Guardians of the Galaxy,Rififi,The Avengers,Avengers: Age of Ultron
Captain America: The Winter Soldier,Iron Man,Lifeforce,Captain America: The First Avenger,The Avengers
Captain America: The Winter Soldier,Captain America: Civil War,School Daze,Thor: The Dark World,Iron Man 3
Captain America: The Winter Soldier,Avengers: Age of Ultron,Original Sin,Iron Man 3,Thor
Captain America: The Winter Soldier,Iron Man 3,The Wolfpack,Avengers: Age of Ultron,Iron Man
Captain America: The Winter Soldier,Captain America: The First Avenger,First Kid,Iron Man 2,Iron Man 2
Captain America: The Winter Soldier,Iron Man 2,The International,Iron Man,Thor: The Dark World
Captain America: The Winter Soldier,Thor,Star Wars: The Force Awakens,Deadpool,Ant-Man
Thor,The Avengers,Love Is Strange,Thor: The Dark World,Thor: The Dark World
Thor,Deadpool,Pushing Tin,Captain America: The Winter Soldier,Captain America: The First Avenger
Thor,Iron Man,Troll Hunter,Ant-Man,Iron Man 2
Thor,Captain America: Civil War,Game Change,Captain America: The First Avenger,Iron Man
Thor,Avengers: Age of Ultron,"You, Me and Dupree",The Avengers,Iron Man 3
Thor,Iron Man 3,Au Revoir les Enfants,Iron Man 2,Captain America: The Winter Soldier
Thor,Captain America: The First Avenger,Notting Hill,Captain America: Civil War,The Avengers
Thor,Iron Man 2,Spider-Man,Iron Man 3,Avengers: Age of Ultron
Thor,Man of Steel,The Doom Generation,Iron Man,Captain America: Civil War
Thor,Batman v Superman: Dawn of Justice,Kids,Avengers: Age of Ultron,Ant-Man
Batman v Superman: Dawn of Justice,300,You've Got Mail,Man of Steel,Man of Steel
Batman v Superman: Dawn of Justice,Watchmen,Blood: The Last Vampire,300,Justice League
Batman v Superman: Dawn of Justice,Iron Man 2,3-Day Weekend,Superman II,Wonder Woman
Batman v Superman: Dawn of Justice,The Amazing Spider-Man,Minority Report,Legend of the Guardians: The Owls of Ga'Hoole,Suicide Squad
Batman v Superman: Dawn of Justice,Thor,Snow Dogs,Superman III,Captain America: Civil War
Batman v Superman: Dawn of Justice,Man of Steel,Inauguration of the Pleasure Dome,Superman Returns,Avengers: Age of Ultron
Batman v Superman: Dawn of Justice,Thor: The Dark World,Barbarians at the Gate,Watchmen,Captain America: The Winter Soldier
Batman v Superman: Dawn of Justice,The Amazing Spider-Man 2,The White Balloon,Justice League: Crisis on Two Earths,Thor
Batman v Superman: Dawn of Justice,The Wolverine,The Lives of Others,Thor: The Dark World,Captain America: The First Avenger
Batman v Superman: Dawn of Justice,Teenage Mutant Ninja Turtles,Lavoura Arcaica,Teenage Mutant Ninja Turtles,The Avengers
